id,title,company,location,url,date,tags,status
23,GTM Lead,Model ML,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/gtm-lead-at-model-ml-4450088584,1 week ago,"Senior / Lead, Tech Sales",À postuler
24,Account Executive,Doctrine,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-at-doctrine-4432965238,1 month ago,Account Executive,À postuler
25,Strategic Account Manager,Cognite,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/strategic-account-manager-at-cognite-4369214679,1 day ago,Tech Sales,À postuler
26,"Founder Advocate, EMEA Startup, Google Cloud",Google,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/founder-advocate-emea-startup-google-cloud-at-google-4451402476,1 week ago,"Cloud, Tech Sales",À postuler
27,Account Executive,Mendo,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-at-mendo-4325776621,8 months ago,Account Executive,À postuler
28,"Senior Strategic Sales Manager, Cloud & AI",Tencent,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-strategic-sales-manager-cloud-ai-at-tencent-4424703907,2 months ago,"Senior / Lead, AI / IA, Cloud, Tech Sales",À postuler
29,Account Executive - Agentforce Service,Salesforce,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-agentforce-service-at-salesforce-4419854722,2 weeks ago,Account Executive,À postuler
30,Senior AI Sales Specialist (F/H),Atos,"Bezons, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-ai-sales-specialist-f-h-at-atos-4446237730,2 weeks ago,"Senior / Lead, AI / IA, Sales Specialist",À postuler
31,AI-Modernisation - Sales AI Lead - CDI Paris - Theodo,Theodo,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/ai-modernisation-sales-ai-lead-cdi-paris-theodo-at-theodo-4368830252,3 days ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
32,Founding Sales - AI for Finance,Stakha,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/founding-sales-ai-for-finance-at-stakha-4444465953,3 weeks ago,"AI / IA, Tech Sales",À postuler
33,Senior Sales Manager - SaaS / AI / Video,Aive,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-sales-manager-saas-ai-video-at-aive-4438927169,1 month ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
34,Senior AI Account Executive – US Retail Market (M/F),MyTraffic,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-ai-account-executive-%E2%80%93-us-retail-market-m-f-at-mytraffic-4426382097,2 months ago,"Senior / Lead, AI / IA, Account Executive",À postuler
35,AI & Business Transformation Lead- EMEA,Boomi,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/ai-business-transformation-lead-emea-at-boomi-4449864203,6 days ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
36,"Regional Client Partner, Ads Solutions",OpenAI,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/regional-client-partner-ads-solutions-at-openai-4441109653,1 week ago,Tech Sales,À postuler
37,EMEA Strategic AI Ecosystem & NVIDIA Business Development Lead,DDN,"Meudon, Île-de-France, France",https://fr.linkedin.com/jobs/view/emea-strategic-ai-ecosystem-nvidia-business-development-lead-at-ddn-4451898656,3 days ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
38,Senior Enterprise Account Executive - Public Sector,ServiceNow,"Issy-les-Moulineaux, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-enterprise-account-executive-public-sector-at-servicenow-4389205028,2 weeks ago,"Senior / Lead, Account Executive",À postuler
39,Account Executive (founding team),Raison,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-founding-team-at-raison-4448053604,1 week ago,Account Executive,À postuler
40,Account Executive - Core - Mid-market,Salesforce,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-core-mid-market-at-salesforce-4419947007,2 weeks ago,Account Executive,À postuler
41,"Executive Account Manager – IA, Copilot & Solutions Microsoft",Witivio - AI Solutions for Microsoft 365,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/executive-account-manager-%E2%80%93-ia-copilot-solutions-microsoft-at-witivio-ai-solutions-for-microsoft-365-4444943352,3 weeks ago,"AI / IA, Tech Sales",À postuler
42,Strategic Core Account Executive,Databricks,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/strategic-core-account-executive-at-databricks-4445099646,2 weeks ago,Account Executive,À postuler
43,Senior Client Executive - Neo Cloud,NetApp,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-client-executive-neo-cloud-at-netapp-4448470087,14 hours ago,"Senior / Lead, Cloud, Tech Sales",À postuler
44,Business Manager — AI & Data — Full-Cycle,MP DATA,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-manager-%E2%80%94-ai-data-%E2%80%94-full-cycle-at-mp-data-4453229162,4 days ago,"AI / IA, Data, Tech Sales",À postuler
45,Startup Partnerships - France & Southern Europe,Anthropic,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/startup-partnerships-france-southern-europe-at-anthropic-4439468131,1 week ago,Tech Sales,À postuler
46,Sr Account Executive,Genesys,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sr-account-executive-at-genesys-4344394130,3 days ago,Account Executive,À postuler
47,"Applied AI Architect, Partnerships",Anthropic,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/applied-ai-architect-partnerships-at-anthropic-4454419424,9 hours ago,"AI / IA, Tech Sales",À postuler
48,Senior Key Account Manager – Robotics & Industrial AI Solutions (f/m/d),MINTH GROUP,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-key-account-manager-%E2%80%93-robotics-industrial-ai-solutions-f-m-d-at-minth-group-4438204944,1 week ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
49,HRIS & AI Tech Pre-Sales Specialist,Arago,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/hris-ai-tech-pre-sales-specialist-at-arago-4443931983,3 weeks ago,"AI / IA, Sales Specialist",À postuler
50,Business Developer – Projets & Innovation IA - F/H,ATECNA,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-developer-%E2%80%93-projets-innovation-ia-f-h-at-atecna-4445640067,3 weeks ago,"AI / IA, BizDev",À postuler
51,Senior Account Executive,RAISE Summit,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-account-executive-at-raise-summit-4432371648,2 weeks ago,"Senior / Lead, Account Executive",À postuler
52,Business Development Manager - EU Market,SmartDev,"Versailles, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-development-manager-eu-market-at-smartdev-4448838876,1 week ago,Tech Sales,À postuler
53,"Account Executive, Enterprise",Mistral,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-enterprise-at-mistral-4439512156,1 month ago,Account Executive,À postuler
54,"Account Executive Enterprise, FSI",Mistral,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-enterprise-fsi-at-mistral-4441986767,1 month ago,Account Executive,À postuler
55,Account Executive IA / Commercial(e) H/F - Typix H/F,"PIXALIONE | SEO, PAID, IA, DATA & CRO","Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-ia-commercial-e-h-f-typix-h-f-at-pixalione-seo-paid-ia-data-cro-4444422011,3 weeks ago,"AI / IA, Account Executive",À postuler
56,Senior AI Account Executive – France (M/F),MyTraffic,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-ai-account-executive-%E2%80%93-france-m-f-at-mytraffic-4426384100,2 months ago,"Senior / Lead, AI / IA, Account Executive",À postuler
57,Account Executive / Responsable commercial grands comptes - Transformation IA - F/H,Rocket4Sales,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-responsable-commercial-grands-comptes-transformation-ia-f-h-at-rocket4sales-4443814807,2 weeks ago,"AI / IA, Account Executive",À postuler
58,ACCOUNT EXECUTIVE ENTERPRISE,STATION F,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-enterprise-at-station-f-4453758584,3 days ago,Account Executive,À postuler
59,"Account Executive Enterprise, GSI",Headline - Asia,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-enterprise-gsi-at-headline-asia-4454235591,20 hours ago,Account Executive,À postuler
60,GenAI Business Development Manager — Paris - Permanent Contract (CDI),Sailglobal,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/genai-business-development-manager-%E2%80%94-paris-permanent-contract-cdi-at-sailglobal-4430410209,4 days ago,"Generative AI, Tech Sales",À postuler
61,Account Executive Commercial,Genesys,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-commercial-at-genesys-4447677610,1 week ago,"AI / IA, Account Executive",À postuler
62,Account Executive,Gladia,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-at-gladia-4444127356,2 weeks ago,Account Executive,À postuler
63,ACCOUNT EXECUTIVE - ENTERPRISE,STATION F,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-enterprise-at-station-f-4451489316,1 week ago,Account Executive,À postuler
64,Business Development Rep (AI Cloud),Featherless AI,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-development-rep-ai-cloud-at-featherless-ai-4415386101,3 months ago,"AI / IA, Cloud, Tech Sales",À postuler
65,Business Developer - Spanish Market H/F,Leonar,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-developer-spanish-market-h-f-at-leonar-4445487364,2 weeks ago,BizDev,À postuler
66,"Business Developer - Data, IA, Digital- Paris - CDI",WOLD,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-developer-data-ia-digital-paris-cdi-at-wold-4405992759,3 months ago,"AI / IA, Data, BizDev",À postuler
67,BUSINESS DEVELOPER INDIA,FLYING WHALES,"Suresnes, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-developer-india-at-flying-whales-4422687756,2 weeks ago,"AI / IA, BizDev",À postuler
68,Business Developer (H/F),CesGensLaB,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-developer-h-f-at-cesgenslab-4451296659,2 days ago,BizDev,À postuler
69,"Business Developer - Paris - CDI - Digital, Data, IA",WOLD,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-developer-paris-cdi-digital-data-ia-at-wold-4432320794,1 month ago,"AI / IA, Data, BizDev",À postuler
70,Business Development Specialist,Crossbeam,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-development-specialist-at-crossbeam-4443134480,5 days ago,"AI / IA, Sales Specialist",À postuler
71,Business Developer Data & IA H/F,Jems Group,"Levallois-Perret, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-developer-data-ia-h-f-at-jems-group-4447542671,2 weeks ago,"AI / IA, Data, BizDev",À postuler
72,Sales Specialist Dématérialisation & Facture Électronique,Sage,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-d%C3%A9mat%C3%A9rialisation-facture-%C3%A9lectronique-at-sage-4405636709,1 week ago,"AI / IA, Sales Specialist",À postuler
73,Founding SDR,Windmill,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/founding-sdr-at-windmill-4408952345,3 months ago,Tech Sales,À postuler
74,Senior Security Sales Specialist (Cybersecurity) - Paris,Myn,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-security-sales-specialist-cybersecurity-paris-at-myn-4440015229,1 month ago,"Senior / Lead, AI / IA, Sales Specialist",À postuler
75,LIMS/ELN application sales specialist (Paris),AgileBio,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/lims-eln-application-sales-specialist-paris-at-agilebio-4390822660,4 months ago,"AI / IA, Sales Specialist",À postuler
76,Senior Sales Specialist,BASSETTI France,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-sales-specialist-at-bassetti-france-4441469950,5 days ago,"Senior / Lead, AI / IA, Sales Specialist",À postuler
77,CDI : Sales Developer,Tandem 🚲,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/cdi-sales-developer-at-tandem-%F0%9F%9A%B2-4448519142,1 week ago,Tech Sales,À postuler
78,leads generation specialist,REECHO Solutions,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/leads-generation-specialist-at-reecho-solutions-4341234073,8 months ago,"Senior / Lead, AI / IA, Sales Specialist",À postuler
79,"Specialist Account Executive, ZT Branch",Zscaler,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/specialist-account-executive-zt-branch-at-zscaler-4410772272,2 weeks ago,"AI / IA, Account Executive",À postuler
80,Sales Manager/Specialist,AUX,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-manager-specialist-at-aux-4452261569,15 hours ago,"AI / IA, Sales Specialist",À postuler
81,"Customer Engineer, Google Distributed Cloud, EMEA",Google,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/customer-engineer-google-distributed-cloud-emea-at-google-4445744699,2 weeks ago,"Cloud, Tech Sales",À postuler
82,Business Developer - UK Market,Leonar,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-developer-uk-market-at-leonar-4445478419,2 weeks ago,BizDev,À postuler
83,Defense Sales FR - H/F,Alta Ares,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/defense-sales-fr-h-f-at-alta-ares-4425620370,2 months ago,Tech Sales,À postuler
84,Consultant Entrepreneur,JAB - Sales Performance.,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/consultant-entrepreneur-at-jab-sales-performance-4432805290,4 weeks ago,Tech Sales,À postuler
85,Technical Pre-Sales (Europe) H/F,Pasqal,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/technical-pre-sales-europe-h-f-at-pasqal-4420988476,2 weeks ago,Tech Sales,À postuler
86,Sales Specialist Dynamics 365 Business Central,isatech,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-dynamics-365-business-central-at-isatech-4450233118,1 week ago,"AI / IA, Sales Specialist",À postuler
87,Sales Development Representative - Enterprise,Malt,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-development-representative-enterprise-at-malt-4436899968,2 weeks ago,Tech Sales,À postuler
88,Sales Specialist - Confirmé - Hybride - CDI,Kiiro,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-confirm%C3%A9-hybride-cdi-at-kiiro-4428736073,2 months ago,"AI / IA, Sales Specialist",À postuler
89,Business Development Representative,Centric Software,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/business-development-representative-at-centric-software-4414680077,3 weeks ago,Tech Sales,À postuler
90,Sales Development Representative 🇫🇷,Bigblue,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-development-representative-%F0%9F%87%AB%F0%9F%87%B7-at-bigblue-4428102156,2 months ago,Tech Sales,À postuler
91,Sales Specialist,OVHcloud,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-at-ovhcloud-4446614076,1 week ago,"AI / IA, Sales Specialist",À postuler
92,Data Centre Technology Sales Specialist,"NTT DATA, Inc.","Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-centre-technology-sales-specialist-at-ntt-data-inc-4422711369,3 days ago,"AI / IA, Data, Sales Specialist",À postuler
93,Sales Specialist Solutions - Data Center & Hybrid H/F,Computacenter,Greater Paris Metropolitan Region,https://fr.linkedin.com/jobs/view/sales-specialist-solutions-data-center-hybrid-h-f-at-computacenter-4442723540,4 weeks ago,"AI / IA, Data, Sales Specialist",À postuler
94,UiPath Test Cloud Sales Specialist South Europe,UiPath,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/uipath-test-cloud-sales-specialist-south-europe-at-uipath-4448449113,1 week ago,"AI / IA, Cloud, Sales Specialist",À postuler
95,AWS Channel Specialist,SoftwareOne,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/aws-channel-specialist-at-softwareone-4447645791,2 weeks ago,"AI / IA, Sales Specialist",À postuler
96,Sales Specialist LowCode/NoCode F/H,Atos,"Bezons, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-lowcode-nocode-f-h-at-atos-4397029922,1 week ago,"AI / IA, Sales Specialist",À postuler
97,Technical Sales Specialist h/f/d,Hornetsecurity,Greater Lyon Area,https://fr.linkedin.com/jobs/view/technical-sales-specialist-h-f-d-at-hornetsecurity-4446559623,2 weeks ago,"AI / IA, Sales Specialist",À postuler
98,Sales Specialist Patient Data,IQVIA,"Courbevoie, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-patient-data-at-iqvia-4428053465,2 months ago,"AI / IA, Data, Sales Specialist",À postuler
99,Sales Specialist Dématérialisation & Facture Électronique – ETI,Sage,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-d%C3%A9mat%C3%A9rialisation-facture-%C3%A9lectronique-%E2%80%93-eti-at-sage-4405654301,1 week ago,"AI / IA, Sales Specialist",À postuler
100,Chargé de clientèle IT H/F,Heliaq,"Reims, Grand Est, France",https://fr.linkedin.com/jobs/view/charg%C3%A9-de-client%C3%A8le-it-h-f-at-heliaq-4446081109,2 weeks ago,Tech Sales,À postuler
101,"Solution Sales Specialist, Machine Identity - France",Palo Alto Networks,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/solution-sales-specialist-machine-identity-france-at-palo-alto-networks-4418761580,1 week ago,"AI / IA, Sales Specialist",À postuler
102,Account Manager Specialist – Assistance Technique & Infogérance (H/F),SCC France,"Strasbourg, Grand Est, France",https://fr.linkedin.com/jobs/view/account-manager-specialist-%E2%80%93-assistance-technique-infog%C3%A9rance-h-f-at-scc-france-4446839936,2 weeks ago,"AI / IA, Sales Specialist",À postuler
103,"Enterprise Account Executive, Paris",Hightouch,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/enterprise-account-executive-paris-at-hightouch-4443579293,5 days ago,Account Executive,À postuler
104,Senior AI Account Executive – Nordics & UK (M/F),MyTraffic,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-ai-account-executive-%E2%80%93-nordics-uk-m-f-at-mytraffic-4426379136,2 months ago,"Senior / Lead, AI / IA, Account Executive",À postuler
105,"Enablement Manager, Sales & AI transformation",Mirakl,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/enablement-manager-sales-ai-transformation-at-mirakl-4435675531,2 weeks ago,"AI / IA, Tech Sales",À postuler
106,Account Executive - EU,DeepIP,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/account-executive-eu-at-deepip-4414031778,2 months ago,Account Executive,À postuler
107,Senior Sales Engineer - Strategic AI,DDN,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-sales-engineer-strategic-ai-at-ddn-4449012501,1 week ago,"Senior / Lead, AI / IA, Tech Sales",À postuler
108,Product Manager - Sales AI,Alan,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/product-manager-sales-ai-at-alan-4442700126,4 weeks ago,"AI / IA, Tech Sales",À postuler
109,Applied AI - Commercial Excellence,耐克森中国,"Puteaux, Île-de-France, France",https://fr.linkedin.com/jobs/view/applied-ai-commercial-excellence-at-%E8%80%90%E5%85%8B%E6%A3%AE%E4%B8%AD%E5%9B%BD-4443591672,3 weeks ago,"AI / IA, Tech Sales",À postuler
110,"Senior Data Center, AI Software Product Strategy & Go-To-Market Lead  — Qualcomm - Europe",Qualcomm,"Issy-les-Moulineaux, Île-de-France, France",https://fr.linkedin.com/jobs/view/senior-data-center-ai-software-product-strategy-go-to-market-lead-%E2%80%94-qualcomm-europe-at-qualcomm-4435213454,3 days ago,"Senior / Lead, AI / IA, Data, Tech Sales",À postuler
111,Enterprise Account Executive,Qlik,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/enterprise-account-executive-at-qlik-4381000453,2 weeks ago,Account Executive,À postuler
112,Sales Executive,Kleio,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-executive-at-kleio-4445348102,3 weeks ago,Tech Sales,À postuler
113,Sales Executive,Galadrim,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-executive-at-galadrim-4440677016,1 month ago,Tech Sales,À postuler
114,Inside Sales Specialist – EMEA,Malvern Panalytical,"Palaiseau, Île-de-France, France",https://fr.linkedin.com/jobs/view/inside-sales-specialist-%E2%80%93-emea-at-malvern-panalytical-4414483951,1 week ago,"AI / IA, Sales Specialist",À postuler
115,Sales Specialist SAP Paris F/H,VISEO,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-sap-paris-f-h-at-viseo-4418275642,2 weeks ago,"AI / IA, Sales Specialist",À postuler
116,Inside Sales Specialist - Paris,Ajax Systems,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/inside-sales-specialist-paris-at-ajax-systems-4427991975,2 months ago,"AI / IA, Sales Specialist",À postuler
117,LI Product Specialist,Agilent Technologies,"Les Ulis, Île-de-France, France",https://fr.linkedin.com/jobs/view/li-product-specialist-at-agilent-technologies-4434794004,5 days ago,"AI / IA, Sales Specialist",À postuler
118,"Sales Specialist, Cash Management",Sage,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/sales-specialist-cash-management-at-sage-4433352641,1 week ago,"AI / IA, Sales Specialist",À postuler
119,Cyber Sales Specialist,Cyberr,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/cyber-sales-specialist-at-cyberr-4447118863,2 weeks ago,"AI / IA, Sales Specialist",À postuler
120,Area Sales Specialist,Waters Corporation,"Guyancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/area-sales-specialist-at-waters-corporation-4429565432,1 month ago,"AI / IA, Sales Specialist",À postuler
121,AI Sales specialist,Check Point Software,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/ai-sales-specialist-at-check-point-software-4454019214,4 days ago,"AI / IA, Sales Specialist",À postuler
122,Spécialiste Sales (H/F),Pagestreet,"Valbonne, Provence-Alpes-Côte d'Azur, France",https://fr.linkedin.com/jobs/view/sp%C3%A9cialiste-sales-h-f-at-pagestreet-4400831539,4 months ago,"AI / IA, Tech Sales",À postuler
123,Software Sales Specialist,Irving Knight Group,France,https://fr.linkedin.com/jobs/view/software-sales-specialist-at-irving-knight-group-4442591207,4 weeks ago,"AI / IA, Sales Specialist",À postuler
124,Inside Sales Specialist F/H,Arthrex GmbH,"Lyon, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/inside-sales-specialist-f-h-at-arthrex-gmbh-4455285374,16 hours ago,"AI / IA, Sales Specialist",À postuler
